id,category,question,answer_a,answer_b,answer_c,correct,correct_answer
269,Wiadomości z zakresu ratownictwa wodnego,Pierwsza pomoc przy krwawiących ranach otwartych kończyn:,"Przemywamy ranę czystą wodą np. mineralną, zakładamy opatrunek, przekazujemy poszkodowanego do lekarza","Usuwamy obce ciała z rany następnie przemywamy ją czystą wodą np. mineralną, zakładamy opatrunek uciskowy, przekazujemy poszkodowanego do lekarza",Pozostawiamy ranę otwartą i jak najszybciej przekazujemy poszkodowanego do lekarza,A,"Przemywamy ranę czystą wodą np. mineralną, zakładamy opatrunek, przekazujemy poszkodowanego do lekarza"
270,Wiadomości z zakresu ratownictwa wodnego,"Gwałtowne uderzenie bardzo silnego wiatru zastało jacht mieczowy w pobliżu brzegu nawietrznego. Wody śródlądowe, żagle zrzucono w porę jacht się nie przewrócił. Wiatr nadal bardzo silny. Brzeg bezpieczny. Jak postępować dalej ?","Podnieść miecz, załoga na pokładzie w pasach/kamizelkach ratunkowych, sztrandować z wiatrem","Przygotować kotwicę, miecza nie podnosić aby wolniej dryfować, blisko brzegu rzucić kotwicę","Natychmiast rzucić kotwicę, załoga pozostaje pod pokładem.",A,"Podnieść miecz, załoga na pokładzie w pasach/kamizelkach ratunkowych, sztrandować z wiatrem"
271,Wiadomości z zakresu ratownictwa wodnego,Na Zalewie Szczecińskim w dzień na skutek pęknięcia kadłuba jacht nabiera wody (jacht wyposażony zgodnie z przepisami). Jak najlepiej i najskuteczniej wezwać pomocy?,Przy pomocy radiotelefonu UKF (procedura MAY DAY),Przy pomocy rakiet czerwonych,Podnosząc pod salingiem sygnał: kula nad flagą,A,Przy pomocy radiotelefonu UKF (procedura MAY DAY)
272,Wiadomości z zakresu ratownictwa wodnego,"Na jeziorach Mazurskich w dzień na jachcie złamał się maszt, jacht jest bez silnika, brak telefonu. Jak najlepiej wzywać pomocy?",Podnosząc i opuszczając ręce i/lub zataczając koła dobrze widocznym przedmiotem,Krzycząc głośno ratunku - pomocy,Nadając latarką sygnał SOS,A,Podnosząc i opuszczając ręce i/lub zataczając koła dobrze widocznym przedmiotem
273,Wiadomości z zakresu ratownictwa wodnego,"Czy na jachcie żeglującym na Jeziorach Mazurskich kapitan ma prawo zarządzić, aby załoga założyła pasy/kamizelki ratunkowe?",Tak,"Nie, to indywidualna decyzja członka załogi",Przepisy tego nie określają,A,Tak
274,Wiadomości z zakresu ratownictwa wodnego,Czy na Zatoce Gdańskiej i Zalewie Szczecińskim działa służba ratownictwa morskiego SAR?,"Tak, z centrum koordynacyjnym w Gdyni i Stacjami ratownictwa w portach.","Nie, SAR działa tylko na pełnym morzu","Nie, działa tam tylko WOPR",A,"Tak, z centrum koordynacyjnym w Gdyni i Stacjami ratownictwa w portach."
275,Wiadomości z zakresu ratownictwa wodnego,Prowadzący jacht polecił załodze założyć pasy /kamizelki ratunkowe. Jak powinna postępować załoga?,Założyć pasy pod pokładem,Wyjść z pasami na pokład i tam je założyć,"Trzymać je przy sobie, a zakładać dopiero w wodzie",B,Wyjść z pasami na pokład i tam je założyć
276,Wiadomości z zakresu ratownictwa wodnego,Pierwszej pomocy przy oparzeniach udzielamy następująco:,Szybkie ochłodzenie oparzonego miejsca przez polewanie zimną wodą i nałożenie jałowego opatrunku.,Nałożenie tłustego kremu lub oliwy i jałowego opatrunku,Przemycie alkoholem i nałożenie opatrunku,A,Szybkie ochłodzenie oparzonego miejsca przez polewanie zimną wodą i nałożenie jałowego opatrunku.
277,Wiadomości z zakresu ratownictwa wodnego,Przed rozpoczęciem sztucznego oddychania u osoby nieprzytomnej należy:,Udrożnić drogi oddechowe i prowadzić akcję sztucznego oddychania,Zabezpieczyć poszkodowaną osobę przed utratą ciepła i prowadzić akcję,Położyć osobę poszkodowaną na miękkim podłożu i natychmiast rozpocząć akcję,A,Udrożnić drogi oddechowe i prowadzić akcję sztucznego oddychania
278,Wiadomości z zakresu ratownictwa wodnego,Z prawej burty jachtu zaobserwowano jednostkę nadającą sygnał jak na rysunku. Jak należy postąpić?,"Zmienić kurs i podejść do tej jednostki, nawiązać z nią łączność","Nie zbliżać się, jednostka wykonuje prace podwodne",Zatrzymać się i czekać na dalsze sygnały tej jednostki,A,"Zmienić kurs i podejść do tej jednostki, nawiązać z nią łączność"
279,Wiadomości z zakresu ratownictwa wodnego,"Wybierz właściwy sposób postępowania osoby, która wypadła za burtę:","Zachować spokój, wzywać pomocy, płynąć do brzegu,",Płynąć za jachtem lub do brzegu możliwie jak najszybciej,"Zachować spokój, oszczędzać energię i siły, podpłynąć do rzuconego już koła i spokojnie czekać.",C,"Zachować spokój, oszczędzać energię i siły, podpłynąć do rzuconego już koła i spokojnie czekać."
280,Wiadomości z zakresu ratownictwa wodnego,Prowadząc sztuczne oddychanie i pośredni masaż serca wykonujemy:,"15 uciśnięć mostka i 2 wdmuchnięcia powietrza,","5 uciśnięć mostka i 1 wdmuchnięcie powietrza,",30 uciśnięć mostka i 2 wdmuchnięcia powietrza,C,30 uciśnięć mostka i 2 wdmuchnięcia powietrza
281,Wiadomości z zakresu ratownictwa wodnego,"Po całodziennej żegludze w lecie załoganta boli głowa, ma zaburzenia świadomości, ciepłą zaczerwienioną skórę i nudności. Czego to mogą być objawy i jak postępować ?","Wyziębienia ciała, podać ciepły napój","Porażenia słonecznego, zastosować zimne okłady, podać wodę mineralną, potrzebna pomoc lekarska","Choroby morskiej, podać aviomarin",B,"Porażenia słonecznego, zastosować zimne okłady, podać wodę mineralną, potrzebna pomoc lekarska"
282,Wiadomości z zakresu ratownictwa wodnego,"Jacht na Zatoce Gdańskiej dryfuje przy bardzo silnym wietrze do brzegu, nadano sygnały wzywania pomocy. Na brzegu wystrzelono zieloną rakietę, a stojący na brzegu macha białą chorągiewką. Co to oznacza i jak postępować ?","Ostrzeżenie o niebezpiecznym miejscu, starać się sztrandować w innym miejscu","Informacja o dobrym miejscu do sztrandowania, starać się sztrandować w tym miejscu","Informacja, że wkrótce nadejdzie jednostka ratownicza",B,"Informacja o dobrym miejscu do sztrandowania, starać się sztrandować w tym miejscu"
283,Wiadomości z zakresu ratownictwa wodnego,Jakie są PODSTAWOWE / NAJWAŻNIEJSZE obowiązki prowadzącego jacht przed wyjściem w rejs?,"Zapoznanie załogi ze sprzętem ratunkowym na jachcie, jego rozmieszczeniu i obsłudze (np. pasy / kamizelki ratunkowe i bezpieczeństwa, gaśnice, itp.) i postępowaniem w niebezpieczeństwie",Zapoznanie załogi z przepisami prawa drogi i oznakowaniem nawigacyjnym danego akwenu,Zapoznanie załogi z zasadami etykiety jachtowej,A,"Zapoznanie załogi ze sprzętem ratunkowym na jachcie, jego rozmieszczeniu i obsłudze (np. pasy / kamizelki ratunkowe i bezpieczeństwa, gaśnice, itp.) i postępowaniem w niebezpieczeństwie"
284,Wiadomości z zakresu ratownictwa wodnego,W celu ugaszenia gaśnicą pożaru w komorze silnika należy:,Lekko uchylić pokrywę komory i natychmiast użyć gaśnicy,"Otworzyć szeroko pokrywę komory, sprawdzić co się pali i dopiero użyć gaśnicy",Otworzyć szeroko pokrywę komory i gasić ogień wodą podawaną z za burty,A,Lekko uchylić pokrywę komory i natychmiast użyć gaśnicy
285,Wiadomości z zakresu ratownictwa wodnego,Po podjęciu nieprzytomnego człowieka z wody należy w PIERWSZEJ KOLEJNOŚCI sprawdzić:,Oddech i tętno,Czy nie jest zraniony,Reakcję źrenic na światło,A,Oddech i tętno
286,Wiadomości z zakresu ratownictwa wodnego,Niezatapialny jacht w lecie przewrócił się na dużym jeziorze w odległości ok. 1 km od zawietrznego brzegu. Wzywano pomoc ale na razie bez skutku. Jakie powinno być dalsze postępowanie?,Załoga w pasach/kamizelkach ratunkowych powinna w grupie płynąć do lądu,Załoga ciepło ubrana w pasach/kamizelkach ratunkowych powinna siedzieć na jachcie możliwie nie w wodzie. Nadal wzywać pomocy.,Osoba najlepiej pływająca powinna płynąć do lądu po pomoc.,B,Załoga ciepło ubrana w pasach/kamizelkach ratunkowych powinna siedzieć na jachcie możliwie nie w wodzie. Nadal wzywać pomocy.
287,Wiadomości z zakresu ratownictwa wodnego,"Zaobserwowano, że znajdujący się w pobliżu jacht ma podniesiony sygnał jak na rysunku. Co należy zrobić ?","Taki sygnał nic nie oznacza, kontynuować swoje pływanie.","Jacht stoi na mieliźnie, nie podchodzić w pobliże","Jacht wzywa pomocy, podejść i podjąć odpowiednie działania",C,"Jacht wzywa pomocy, podejść i podjąć odpowiednie działania"
288,Wiadomości z zakresu ratownictwa wodnego,Jak zachować się przy wywracaniu się jachtu (wywrotka już nieunikniona)?,Działać tak aby nie wpaść pod żagiel,Wyskoczyć od strony burty zawietrznej jak najdalej od jachtu,Wyskoczyć za rufę,A,Działać tak aby nie wpaść pod żagiel
289,Wiadomości z zakresu ratownictwa wodnego,Na jachcie czuć zapach tlącej się izolacji. Co zrobić w pierwszej kolejności?,Jak najszybciej zlokalizować miejsce uszkodzenia,Przygotować gaśnicę i czekać gdzie pojawi się dym,Wyłączyć główny wyłącznik akumulatorów lub zdjąć klemy z akumulatora,C,Wyłączyć główny wyłącznik akumulatorów lub zdjąć klemy z akumulatora
290,Wiadomości z zakresu ratownictwa wodnego,"Po wywrotce jachtu Omega wieczorem (jesień - temp. wody ok. 10°C, wiatr słabnący, do brzegu zawietrznego odl. ok. 3 km, do nawietrznego ok. 300 m) sternik ocenił, że należy płynąć na prowizorycznej tratwie do brzegu nawietrznego. Czy decyzja była słuszna?","Tak, bo do tego brzegu jest bliżej, a istnieje niebezpieczeństwo wychłodzenia","Nie, nigdy nie powinno się opuszczać jachtu","Tak, ale dopiero jeżeli próby wzywania pomocy nie dały rezultatu (w rozsądnym czasie)",C,"Tak, ale dopiero jeżeli próby wzywania pomocy nie dały rezultatu (w rozsądnym czasie)"
291,Wiadomości z zakresu ratownictwa wodnego,"Co może być pomocne przy próbie postawienia niewielkiego jachtu mieczowego po wywrotce, jeżeli dotychczasowe próby postawienia nie dały rezultatu?",Podniesienie miecza i steru,Zrzucenie żagli i położenie masztu,Ustawienie jachtu rufą do wiatru,B,Zrzucenie żagli i położenie masztu
292,Wiadomości z zakresu ratownictwa wodnego,Jaki jest numer ratunkowy telefonu WOPR (ratownictwo na jeziorach)?,600 100 100,601 100 100,601 101 101,B,601 100 100
293,Wiadomości z zakresu ratownictwa wodnego,"Członek załogi przewrócił się na pokładzie, ma silny ból klatki piersiowej szczególnie przy wdechu. Jak udzielić mu pierwszej pomocy?","Umieścić go w pozycji półsiedzącej w miejscu najmniej narażonym na kołysanie, założyć okrężną opaskę z szerokiego bandaża na klatkę piersiową, podać środki przeciwbólowe","Ułożyć go w pozycji bezpiecznej, w miejscu dobrze wentylowanym",Podawać ciepłe płyny i środki przeciwkaszlowe,A,"Umieścić go w pozycji półsiedzącej w miejscu najmniej narażonym na kołysanie, założyć okrężną opaskę z szerokiego bandaża na klatkę piersiową, podać środki przeciwbólowe"
294,Wiadomości z zakresu ratownictwa wodnego,Przy pracach konserwacyjnych członek załogi oparzył się kwasem z akumulatora. Jak udzielić pierwszej pomocy?,Nałożyć na miejsce oparzone sterylny opatrunek,"Starannie i długo płukać miejsce oparzone wodą, a następnie roztworem sody oczyszczonej lub mydła. Nałożyć sterylny opatrunek.",Nałożyć na miejsce oparzone okład alkaliczny np. z mydła,B,"Starannie i długo płukać miejsce oparzone wodą, a następnie roztworem sody oczyszczonej lub mydła. Nałożyć sterylny opatrunek."
295,Wiadomości z zakresu ratownictwa wodnego,Członek załogi doznał urazu stawu skokowego (ból i zasinienie) jak należy postępować?,"Nałożyć ciasny bandaż, trzymać nogę w cieple","Unieruchomić całą kończynę, wzywać natychmiast pomoc lekarską","Zastosować zimne okłady przez 15 - 30 minut, unieruchomić staw, podać środki przeciwbólowe, przekazać poszkodowanego pod opiekę lekarską",C,"Zastosować zimne okłady przez 15 - 30 minut, unieruchomić staw, podać środki przeciwbólowe, przekazać poszkodowanego pod opiekę lekarską"
296,Wiadomości z zakresu ratownictwa wodnego,Na małym jachcie wywracalnym (np. OMEGA) jest 5 osób. Jedna wypadła za burtę. Jak do niej podejść i jak ją najbezpieczniej wyciągnąć na jacht?,"Podejść bajdewindem burtą nawietrzną, a przeprowadzić osobę w wodzie na rufę i tam ją wyciągnąć na pokład.","Podejść bajdewindem burtą nawietrzną, przeprowadzić osobę w wodzie na dziób i tam ją wyciągnąć na pokład.","Podejść bajdewindem burtą nawietrzną, dwie osoby balastują, a dwie wyciągają człowieka na pokład na śródokręciu.",C,"Podejść bajdewindem burtą nawietrzną, dwie osoby balastują, a dwie wyciągają człowieka na pokład na śródokręciu."
297,Wiadomości z zakresu ratownictwa wodnego,"Na jachcie jest silnik przyczepny na pantografie rufowym po stronie lewej burty. Wypadł człowiek za burtę, uruchomiono silnik. Jak podchodzić do człowieka najszybciej i najbezpieczniej?",Na silniku w bajdewindzie lub pod wiatr lewą burtą,Na silniku w bajdewindzie lub pod wiatr prawą burtą,Najpierw zrzucić żagle i dopiero potem podchodzić w dowolny sposób,B,Na silniku w bajdewindzie lub pod wiatr prawą burtą
298,Wiadomości z zakresu ratownictwa wodnego,"Jacht żegluje bajdewindem lewego halsu, zauważono, że zerwała się prawa topwanta (rozkręcił się ściągacz) Co należy zrobić?","Zmienić kurs do linii wiatru, zrzucić żagle, uruchomić silnik, płynąć do portu","Zluzować nieco żagle nie zmieniając kursu, połączyć i skręcić ściągacz i zabezpieczyć go","Wykonać zwrot przez sztag, zrzucić żagle, jak najszybciej założyć awaryjną wantę",B,"Zluzować nieco żagle nie zmieniając kursu, połączyć i skręcić ściągacz i zabezpieczyć go"
299,Wiadomości z zakresu ratownictwa wodnego,Na jeziorach Mazurskich na maszcie sygnałowym przy wejściu do Kanału Jeglińskiego zaobserwowano żółte światło pulsujące (błysk częściej niż co 1 sekundę). Co to może oznaczać?,Zakaz wejścia do kanału,Oznaczenie wejścia do kanału,Ostrzeżenie bezpośrednim niebezpieczeństwie wystąpienia burz i bardzo silnego wiatru,C,Ostrzeżenie bezpośrednim niebezpieczeństwie wystąpienia burz i bardzo silnego wiatru
300,Wiadomości z zakresu ratownictwa wodnego,Czy pływając jachtem na jeziorach Mazurskich można korzystać z telefonicznych ostrzeżeń meteorologicznych?,"Tak, telefonując na nr informacyjny Regionu Dróg Wodnych","Tak, zamawiając usługę ostrzeżeń w Mazurskim W. O.P.R wysyłanych jako SMS","Nie, takich możliwości nie ma",B,"Tak, zamawiając usługę ostrzeżeń w Mazurskim W. O.P.R wysyłanych jako SMS"
301,Wiadomości z zakresu ratownictwa wodnego,Zauważyliśmy wywrócony jacht i załogę tego jachtu w wodzie. Jak postępujemy?,Płyniemy jak najszybciej do najbliższej przystani celem wezwania pomocy,"W bezpiecznej odległości od przewróconego jachtu zrzucamy żagle i z prędkością minimalną podpływamy do przewróconego jachtu i ratujemy ludzi, a potem sprzęt","W bezpiecznej odległości od przewróconego jachtu, słownie instruujemy jak mają postępować",B,"W bezpiecznej odległości od przewróconego jachtu zrzucamy żagle i z prędkością minimalną podpływamy do przewróconego jachtu i ratujemy ludzi, a potem sprzęt"
